baseline_id,severe_shortfall_threshold,minimum_consecutive_days,recovery_days,training_start_date,training_end_date,training_days,background_episode_count,background_episodes_per_year,raw_threshold_days,raw_threshold_day_fraction,episode_active_days,episode_active_day_fraction,mean_episode_duration_days,median_episode_duration_days
doy_weekday_hw15,0.3,5,3,2019-01-01,2023-12-31,1826,9,1.8002094742606791,341,0.18674698795180722,128,0.0700985761226725,14.222222222222221,12.0
doy_weekday_hw15,0.3,5,5,2019-01-01,2023-12-31,1826,6,1.2001396495071195,341,0.18674698795180722,232,0.12705366922234393,38.666666666666664,32.5
doy_weekday_hw15,0.3,5,7,2019-01-01,2023-12-31,1826,5,1.0001163745892663,341,0.18674698795180722,269,0.14731653888280394,53.8,64.0
doy_weekday_hw15,0.4,2,3,2019-01-01,2023-12-31,1826,27,5.400628422782037,230,0.12595837897042717,191,0.10460021905805038,7.074074074074074,4.0
doy_weekday_hw15,0.4,2,5,2019-01-01,2023-12-31,1826,17,3.400395673603505,230,0.12595837897042717,254,0.13910186199342825,14.941176470588236,6.0
doy_weekday_hw15,0.4,2,7,2019-01-01,2023-12-31,1826,12,2.400279299014239,230,0.12595837897042717,294,0.16100766703176342,24.5,11.0
doy_weekday_hw15,0.4,3,3,2019-01-01,2023-12-31,1826,18,3.6004189485213582,230,0.12595837897042717,137,0.07502738225629792,7.611111111111111,5.0
doy_weekday_hw15,0.4,3,5,2019-01-01,2023-12-31,1826,12,2.400279299014239,230,0.12595837897042717,203,0.11117196056955093,16.916666666666668,11.5
doy_weekday_hw15,0.4,3,7,2019-01-01,2023-12-31,1826,9,1.8002094742606791,230,0.12595837897042717,270,0.14786418400876233,30.0,13.0
doy_weekday_hw15,0.4,5,3,2019-01-01,2023-12-31,1826,2,0.4000465498357065,230,0.12595837897042717,38,0.0208105147864184,19.0,19.0
doy_weekday_hw15,0.4,5,5,2019-01-01,2023-12-31,1826,2,0.4000465498357065,230,0.12595837897042717,69,0.03778751369112815,34.5,34.5
