baseline_id,severe_shortfall_threshold,minimum_consecutive_days,recovery_days,total_episode_count,test_episode_count,target_anchor_date,target_episode_detected,target_onset_date,target_end_date,target_onset_offset_days,target_duration_days,target_severe_days,target_maximum_shortfall_fraction,target_cumulative_capacity_loss
doy_weekday_hw30,0.3,5,7,7,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,457870020.1428722
doy_weekday_hw30,0.4,2,3,40,3,2026-03-01,True,2026-02-26,2026-09-06,0,193,191,1.0,459991671.2018635
doy_weekday_hw30,0.4,2,5,30,2,2026-03-01,True,2026-02-26,2026-09-06,0,193,191,1.0,459991671.2018635
doy_weekday_hw30,0.4,2,7,23,2,2026-03-01,True,2026-02-26,2026-09-06,0,193,191,1.0,459991671.2018635
doy_weekday_hw30,0.4,3,3,24,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,457870020.1428722
doy_weekday_hw30,0.4,3,5,19,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,457870020.1428722
doy_weekday_hw30,0.4,3,7,15,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,457870020.1428722
doy_weekday_hw30,0.4,5,3,5,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,457870020.1428722
doy_weekday_hw30,0.4,5,5,5,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,457870020.1428722
doy_weekday_hw30,0.4,5,7,5,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,189,1.0,457870020.1428722
doy_weekday_hw30,0.5,2,3,34,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,187,1.0,457870020.1428722
doy_weekday_hw30,0.5,2,5,26,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,187,1.0,457870020.1428722
doy_weekday_hw30,0.5,2,7,20,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,187,1.0,457870020.1428722
doy_weekday_hw30,0.5,3,3,12,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,187,1.0,457870020.1428722
doy_weekday_hw30,0.5,3,5,10,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,187,1.0,457870020.1428722
doy_weekday_hw30,0.5,3,7,8,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,187,1.0,457870020.1428722
doy_weekday_hw30,0.5,5,3,3,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,187,1.0,457870020.1428722
doy_weekday_hw30,0.5,5,5,3,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,187,1.0,457870020.1428722
doy_weekday_hw30,0.5,5,7,3,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,187,1.0,457870020.1428722
doy_weekday_hw30,0.7,2,3,8,3,2026-03-01,True,2026-03-01,2026-06-22,3,114,114,1.0,273032927.60719794
doy_weekday_hw30,0.7,2,5,6,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,181,1.0,457870020.1428722
doy_weekday_hw30,0.7,2,7,6,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,181,1.0,457870020.1428722
doy_weekday_hw30,0.7,3,3,5,3,2026-03-01,True,2026-03-01,2026-06-22,3,114,114,1.0,273032927.60719794
doy_weekday_hw30,0.7,3,5,3,1,2026-03-01,True,2026-03-01,2026-09-06,3,190,181,1.0,457870020.1428722
