episode_cluster_id,flow_episode_id,phase4_split,dependency_group,source_class,signal_family_id,evidence_date,days_from_onset,active_flow_episode_id,clean_pre_onset_signal,is_update
E045,45,test,E045,UKMTO_ADVISORY,,2025-10-16,8.0,45.0,False,False
E045,45,test,E045,UKMTO_ADVISORY,UKMTO-WARNING-036-25,2025-10-19,11.0,,False,True
E042,42,test,E042,UKMTO_WARNING,UKMTO-WARNING-028-25,2025-07-24,-22.0,,False,False
E042,42,test,E042,UKMTO_WARNING,UKMTO-WARNING-028-25,2025-07-24,-22.0,,False,True
E045,45,test,E045,UKMTO_WARNING,,2025-09-23,-15.0,44.0,False,False
E045,45,test,E045,UKMTO_WARNING,UKMTO-WARNING-033-25,2025-09-29,-9.0,,False,True
E045,45,test,E045,UKMTO_WARNING,UKMTO-WARNING-033-25,2025-09-29,-9.0,,False,False
E045,45,test,E045,UKMTO_WARNING,UKMTO-WARNING-036-25,2025-10-18,10.0,45.0,False,True
E045,45,test,E045,UKMTO_WARNING,UKMTO-WARNING-036-25,2025-10-18,10.0,45.0,False,False
E006,6,training,E006,GARD,GARD-GULF-OMAN-2019-06,,,,False,False
E006,6,training,E006,MARAD,MARAD-2019-003A,2019-06-13,13.0,,False,False
E006,6,training,E006,GARD,GARD-AIS-SANCTIONS-2019,2019-05-28,-3.0,,False,False
E006,6,training,E006,IUA_JWC_LMA,JWLA-034,2026-07-29,2616.0,51.0,False,False
E006,6,training,E006,IUA_JWC_LMA,JWLA-034,2026-07-29,2616.0,51.0,False,False
E007,7,training,E007,GARD,GARD-GULF-OMAN-2019-06,,,,False,False
E007,7,training,E007,MARAD,MARAD-2019-003A,2019-06-13,-6.0,,False,False
E007,7,training,E007,GARD,GARD-AIS-SANCTIONS-2019,2019-05-28,-22.0,,False,False
E007,7,training,E007,IUA_JWC_LMA,JWLA-034,2026-07-29,2597.0,51.0,False,False
E007,7,training,E007,IUA_JWC_LMA,JWLA-034,2026-07-29,2597.0,51.0,False,False
E027,27,training,E027,GARD,GARD-PERSIAN-GULF-GUIDANCE-2021,2021-01-06,-16.0,26.0,False,False
E027,27,training,E027,MARAD,MARAD-2021-001A,2021-01-05,-17.0,26.0,False,False
E027,27,training,E027,IUA_JWC_LMA,JWLA-034,2026-07-29,2014.0,51.0,False,False
E027,27,training,E027,IUA_JWC_LMA,JWLA-034,2026-07-29,2014.0,51.0,False,False
E029,29,training,E029,MARAD,MARAD-2021-003A,2021-02-26,-9.0,28.0,False,False
E029,29,training,E029,IUA_JWC_LMA,JWLA-034,2026-07-29,1970.0,51.0,False,False
E029,29,training,E029,IUA_JWC_LMA,JWLA-034,2026-07-29,1970.0,51.0,False,False
E031,31,validation,E031,UKMTO_ADVISORY,UKMTO-INCIDENT-038-2024,2024-02-23,-5.0,,False,False
E031,31,validation,E031,UKMTO_ADVISORY,UKMTO-INCIDENT-040-2024,2024-02-25,-3.0,,False,False
E031,31,validation,E031,UKMTO_ADVISORY,UKMTO-INCIDENT-041-2024,2024-02-27,-1.0,,False,False
E031,31,validation,E031,UKMTO_ADVISORY,UKMTO-INCIDENT-041-2024,2024-02-27,-1.0,,False,True
E031,31,validation,E031,GARD,GARD-RED-SEA-CANCELLATION-2024,2024-02-14,-14.0,,False,False
E031,31,validation,E031,GARD,GARD-RED-SEA-CANCELLATION-2024,2024-02-20,-8.0,,False,True
E031,31,validation,E031,GARD,GARD-RED-SEA-CANCELLATION-2024,,,,False,True
E031,31,validation,E031,GARD,GARD-RED-SEA-INSURANCE-COMMENTARY-2024,2024-02-28,0.0,31.0,False,False
E031,31,validation,E031,GARD,GARD-POLAR-COMMENTARY-2024,,,,False,False
E031,31,validation,E031,IUA_JWC_LMA,JWLA-034,2026-07-29,882.0,51.0,False,False
E031,31,validation,E031,IUA_JWC_LMA,JWLA-034,2026-07-29,882.0,51.0,False,False
E031,31,validation,E031,UKMTO_ADVISORY,UKMTO-INCIDENT-025-2024,2024-01-30,-29.0,,False,False
E031,31,validation,E031,UKMTO_ADVISORY,UKMTO-INCIDENT-025-2024,2024-01-30,-29.0,,False,True
E031,31,validation,E031,UKMTO_ADVISORY,UKMTO-INCIDENT-043-2024,2024-03-02,3.0,31.0,False,False
E031,31,validation,E031,UKMTO_ADVISORY,UKMTO-INCIDENT-045-2024,2024-03-06,7.0,,False,False
E031,31,validation,E031,UKMTO_ADVISORY,UKMTO-SECURITY-NOTIFICATION-2024-02-02,2024-02-02,-26.0,,False,False
E031,31,validation,E031,UKMTO_ADVISORY,UKMTO-SECURITY-NOTIFICATION-2024-02-21,2024-02-21,-7.0,,False,False
E031,31,validation,E031,UKMTO_WARNING,UKMTO-INCIDENT-024-2024,2024-01-29,-30.0,,False,False
